Name,Email,Phone,Company Name,GSTIN,PAN,Bank Name,Account Number,IFSC Code,Profile Picture,Address1_Type,Address1_Line1,Address1_Line2,Address1_City,Address1_State,Address1_Postal,Address1_Country,Address1_Image,Address2_Type,Address2_Line1,Address2_Line2,Address2_City,Address2_State,Address2_Postal,Address2_Country,Address2_Image,Document Types,Document URLs,Gallery URLs,Gallery Captions
Seller 3,seller3@gmail.com,9876543210,Acme Inc.,29ABCDE1234F1Z5,ABCDE1234F,HDFC Bank,1234567890,HDFC0001234,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRI44MpRTiYxwLriYlrigVepH3wKP6LQFA2Uw&s,Business,123 Main St,Suite 101,Mumbai,Maharashtra,400001,India,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTbowrxRPeoZ9rdt-Kk10z1GteIdhyrvQzBJQ&s,Warehouse,456 Park Ave,Suite 101,Delhi,Delhi,110001,India,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR94I3yzP84sdXgsTPrdlJeeEKsy6a-nd8OHA&s,"GST Certificate,PAN Card","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSBnXrwEtl7p0xu3BV06kodM2Sl4kh02rBodg&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQu7DmtmzdxrSgZIsqcXnu7LcpcJvorZnolCg&s","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQYftaPEF3axA7XqiOAoR8lCA-cEx3pMQwBqw&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRGF5nCVX7a7Z3Pw3u_a6-SQG-9F9mPMcwY7g&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQQs5zAgO3iUyNxUAVLXyE2ZUikDICKurm-Lg&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgkAYsmYtIltn1lo73q2gICJeDHY3QnVl98w&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTRkwAJ7XOINrkm5Ln7PoC8VMt1Fw7eOYIFcg&s","Event 1, Event 2, Event 3, Event 4, Event 5"
Seller 4,seller4@gmail.com,8765432109,XYZ Corp.,27FGHIJ5678G1Z3,FGHIJ5678G,ICICI Bank,987654321,ICIC0005678,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRCMg1zBGR6QI-AN00VcMyHRmjVJxXaIdzUGQ&s,Business,456 Park Ave,Suite 102,Delhi,Delhi,110001,India,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRl9mjpNplkg2DDPhLvRM3eTNy6J79WIOXFFA&s,Warehouse,457 Park Ave,Suite 102,Delhi,Delhi,110002,India,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT5Ro7Qn-OQ9UiCttxMB_otIvsNVJslpSkTXw&s,"Aadhar Card,Business License","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSBnXrwEtl7p0xu3BV06kodM2Sl4kh02rBodg&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQu7DmtmzdxrSgZIsqcXnu7LcpcJvorZnolCg&s","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQYftaPEF3axA7XqiOAoR8lCA-cEx3pMQwBqw&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRGF5nCVX7a7Z3Pw3u_a6-SQG-9F9mPMcwY7g&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQQs5zAgO3iUyNxUAVLXyE2ZUikDICKurm-Lg&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgkAYsmYtIltn1lo73q2gICJeDHY3QnVl98w&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTRkwAJ7XOINrkm5Ln7PoC8VMt1Fw7eOYIFcg&s",
Seller 5,seller5@gmail.com,8765432110,ABC Inc.,27FGHIJ5678G1Z4,FGHIJ5678H,BOB Bank,1234567891,ICIC0005679,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQB-nJrZFSSQY22RRvU4fvjnsTawJ8uDr44oA&s,Business,124 Main St,Suite 103,Mumbai,Maharashtra,110001,India,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqev71yfSj8SBsakyDkejJcNFgdYNxcEDDYA&s,Warehouse,458 Park Ave,Suite 103,Delhi,Delhi,110003,India,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRsSWmdkRw7Ik1yDb7hQbdjYK3MK2womgPMJA&s,"GST Certificate,PAN Card","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSBnXrwEtl7p0xu3BV06kodM2Sl4kh02rBodg&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQu7DmtmzdxrSgZIsqcXnu7LcpcJvorZnolCg&s","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQYftaPEF3axA7XqiOAoR8lCA-cEx3pMQwBqw&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRGF5nCVX7a7Z3Pw3u_a6-SQG-9F9mPMcwY7g&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQQs5zAgO3iUyNxUAVLXyE2ZUikDICKurm-Lg&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgkAYsmYtIltn1lo73q2gICJeDHY3QnVl98w&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTRkwAJ7XOINrkm5Ln7PoC8VMt1Fw7eOYIFcg&s",
Seller 6,seller6@gmail.com,8765432102,DEF Inc.,27FGHIJ5678G1Z5,FGHIJ5678I,UBI Bank,1234567892,ICIC0005680,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSwDioSdYNi5IqLYwq9DiBLEuiP9Yy3-tBumA&s,Business,457 Park Ave,Suite 104,Delhi,Delhi,400001,India,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQW1h8pAc9eUrCFN-f6rkjE5wDNkoF4xBm_qg&s,Warehouse,459 Park Ave,Suite 104,Delhi,Delhi,110004,India,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQlFpHmX6srO1wEyorcIN3tLNJVxMRMpF6hlA&s,"Aadhar Card,Business License","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSBnXrwEtl7p0xu3BV06kodM2Sl4kh02rBodg&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQu7DmtmzdxrSgZIsqcXnu7LcpcJvorZnolCg&s","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQYftaPEF3axA7XqiOAoR8lCA-cEx3pMQwBqw&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRGF5nCVX7a7Z3Pw3u_a6-SQG-9F9mPMcwY7g&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQQs5zAgO3iUyNxUAVLXyE2ZUikDICKurm-Lg&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgkAYsmYtIltn1lo73q2gICJeDHY3QnVl98w&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTRkwAJ7XOINrkm5Ln7PoC8VMt1Fw7eOYIFcg&s",
Seller 7,seller7@gmail.com,8765432103,GHI Inc.,27FGHIJ5678G1Z6,FGHIJ5678J,HDFC Bank,1234567893,ICIC0005681,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTADtP4cCLPDNviQyC34SRjdy4IeU9E0NkybQ&s,Business,125 Main St,Suite 105,Mumbai,Maharashtra,400001,India,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ-edGL2yaXJCIFCcYTVCOOpa2nxBBnas7k6g&s,Warehouse,460 Park Ave,Suite 105,Delhi,Delhi,110005,India,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQy8Chn3lOZKsxrMlKg6zEnZHupIdu6H4_06g&s,"GST Certificate,PAN Card","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSBnXrwEtl7p0xu3BV06kodM2Sl4kh02rBodg&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQu7DmtmzdxrSgZIsqcXnu7LcpcJvorZnolCg&s","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQYftaPEF3axA7XqiOAoR8lCA-cEx3pMQwBqw&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRGF5nCVX7a7Z3Pw3u_a6-SQG-9F9mPMcwY7g&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQQs5zAgO3iUyNxUAVLXyE2ZUikDICKurm-Lg&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgkAYsmYtIltn1lo73q2gICJeDHY3QnVl98w&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTRkwAJ7XOINrkm5Ln7PoC8VMt1Fw7eOYIFcg&s",
Seller 8,seller8@gmail.com,9876543211,JKL Inc.,27FGHIJ5678G1Z7,FGHIJ5678K,ICICI Bank,1234567894,ICIC0005682,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQZIEWbkNvGUPV0rytIDPrRTa_HHlLDCWA5NQ&s,Business,458 Park Ave,Suite 106,Delhi,Delhi,400001,India,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcThY_H41KHxJAa9jBwM-AnAnIgA5wfuvsxCgg&s,Warehouse,461 Park Ave,Suite 106,Delhi,Delhi,110006,India,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcREu6L3MNhNIqllUj-uGm1bElkMih6_Jar_eA&s,"Aadhar Card,Business License","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSBnXrwEtl7p0xu3BV06kodM2Sl4kh02rBodg&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQu7DmtmzdxrSgZIsqcXnu7LcpcJvorZnolCg&s","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQYftaPEF3axA7XqiOAoR8lCA-cEx3pMQwBqw&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRGF5nCVX7a7Z3Pw3u_a6-SQG-9F9mPMcwY7g&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQQs5zAgO3iUyNxUAVLXyE2ZUikDICKurm-Lg&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgkAYsmYtIltn1lo73q2gICJeDHY3QnVl98w&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTRkwAJ7XOINrkm5Ln7PoC8VMt1Fw7eOYIFcg&s",
Seller 9,seller9@gmail.com,9876543212,MNO Inc.,27FGHIJ5678G1Z8,FGHIJ5678L,PNB Bank,1234567895,ICIC0005683,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSTDz3nqfElxcn9UUqCpiqlLI9P-bWwQ1jv7w&s,Business,126 Main St,Suite 107,Mumbai,Maharashtra,400001,India,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTV7_c6ZpyktJTlxUv6mH9iG3zpMHcIHnGtIw&s,Warehouse,462 Park Ave,Suite 107,Delhi,Delhi,110007,India,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRl9mjpNplkg2DDPhLvRM3eTNy6J79WIOXFFA&s,"GST Certificate,PAN Card","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSBnXrwEtl7p0xu3BV06kodM2Sl4kh02rBodg&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQu7DmtmzdxrSgZIsqcXnu7LcpcJvorZnolCg&s","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQYftaPEF3axA7XqiOAoR8lCA-cEx3pMQwBqw&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRGF5nCVX7a7Z3Pw3u_a6-SQG-9F9mPMcwY7g&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQQs5zAgO3iUyNxUAVLXyE2ZUikDICKurm-Lg&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgkAYsmYtIltn1lo73q2gICJeDHY3QnVl98w&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTRkwAJ7XOINrkm5Ln7PoC8VMt1Fw7eOYIFcg&s",
Seller 10,seller10@gmail.com,9876543223,PQR Inc.,27FGHIJ5678G1Z9,FGHIJ5678M,INS Bank,1234567896,ICIC0005684,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQh5orPts9psWt-74iurFnsfR2zJ-OmSm6fKQ&s,Business,459 Park Ave,Suite 108,Delhi,Delhi,400001,India,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTgWUtN2hfkwnpxVQSY4h8Nr3sflOJ_PpqONg&s,Warehouse,463 Park Ave,Suite 108,Delhi,Delhi,110008,India,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTbowrxRPeoZ9rdt-Kk10z1GteIdhyrvQzBJQ&s,"Aadhar Card,Business License","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSBnXrwEtl7p0xu3BV06kodM2Sl4kh02rBodg&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQu7DmtmzdxrSgZIsqcXnu7LcpcJvorZnolCg&s","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQYftaPEF3axA7XqiOAoR8lCA-cEx3pMQwBqw&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRGF5nCVX7a7Z3Pw3u_a6-SQG-9F9mPMcwY7g&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQQs5zAgO3iUyNxUAVLXyE2ZUikDICKurm-Lg&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgkAYsmYtIltn1lo73q2gICJeDHY3QnVl98w&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTRkwAJ7XOINrkm5Ln7PoC8VMt1Fw7eOYIFcg&s",
Seller 11,seller11@gmail.com,9876543210,STU Inc.,27FGHIJ5678G2Z0,FGHIJ5678N,HDFC Bank,1234567897,ICIC0005685,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQMak1HtDodRoPREUcD8q3-FHmxaPy2Z9Q84w&s,Business,127 Main St,Suite 109,Mumbai,Maharashtra,400001,India,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR94I3yzP84sdXgsTPrdlJeeEKsy6a-nd8OHA&s,Warehouse,464 Park Ave,Suite 109,Delhi,Delhi,110009,India,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRl9mjpNplkg2DDPhLvRM3eTNy6J79WIOXFFA&s,"GST Certificate,PAN Card","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSBnXrwEtl7p0xu3BV06kodM2Sl4kh02rBodg&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQu7DmtmzdxrSgZIsqcXnu7LcpcJvorZnolCg&s","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQYftaPEF3axA7XqiOAoR8lCA-cEx3pMQwBqw&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRGF5nCVX7a7Z3Pw3u_a6-SQG-9F9mPMcwY7g&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQQs5zAgO3iUyNxUAVLXyE2ZUikDICKurm-Lg&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgkAYsmYtIltn1lo73q2gICJeDHY3QnVl98w&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTRkwAJ7XOINrkm5Ln7PoC8VMt1Fw7eOYIFcg&s",
Seller 12,seller12@gmail.com,9876543214,VWX Inc.,27FGHIJ5678G2Z1,FGHIJ5678O,IDFC Bank,1234567898,ICIC0005686,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT776WIngiJxKxQ4EiD8O1c14Q1iGHu1RrnqA&s,Business,460 Park Ave,Suite 110,Delhi,Delhi,400001,India,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT5Ro7Qn-OQ9UiCttxMB_otIvsNVJslpSkTXw&s,Warehouse,465 Park Ave,Suite 110,Delhi,Delhi,110010,India,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqev71yfSj8SBsakyDkejJcNFgdYNxcEDDYA&s,"Aadhar Card,Business License","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSBnXrwEtl7p0xu3BV06kodM2Sl4kh02rBodg&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQu7DmtmzdxrSgZIsqcXnu7LcpcJvorZnolCg&s","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQYftaPEF3axA7XqiOAoR8lCA-cEx3pMQwBqw&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRGF5nCVX7a7Z3Pw3u_a6-SQG-9F9mPMcwY7g&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQQs5zAgO3iUyNxUAVLXyE2ZUikDICKurm-Lg&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgkAYsmYtIltn1lo73q2gICJeDHY3QnVl98w&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTRkwAJ7XOINrkm5Ln7PoC8VMt1Fw7eOYIFcg&s",
